Trial,Result,Mapping,NumberTries,SuccessRate,MaxLoopLength,MinLoopLength,AverageLoopLength,NumLoops
0,0,"{1: 2, 2: 7, 3: 10, 4: 9, 5: 1, 6: 6, 7: 3, 8: 8, 9: 5, 10: 4}",5,0.0,8,1,3.3333333333333335,3
1,1,"{1: 4, 2: 8, 3: 10, 4: 1, 5: 2, 6: 7, 7: 6, 8: 9, 9: 5, 10: 3}",5,0.5,4,2,2.5,4
2,1,"{1: 7, 2: 9, 3: 6, 4: 5, 5: 4, 6: 1, 7: 10, 8: 2, 9: 8, 10: 3}",5,0.6666666666666666,5,2,3.3333333333333335,3
3,0,"{1: 1, 2: 7, 3: 2, 4: 5, 5: 9, 6: 3, 7: 8, 8: 10, 9: 4, 10: 6}",5,0.5,6,1,3.3333333333333335,3
4,0,"{1: 4, 2: 2, 3: 9, 4: 6, 5: 10, 6: 1, 7: 5, 8: 7, 9: 8, 10: 3}",5,0.4,6,1,3.3333333333333335,3
5,0,"{1: 7, 2: 2, 3: 6, 4: 10, 5: 4, 6: 8, 7: 9, 8: 5, 9: 1, 10: 3}",5,0.3333333333333333,6,1,3.3333333333333335,3
6,0,"{1: 7, 2: 3, 3: 8, 4: 10, 5: 2, 6: 9, 7: 4, 8: 5, 9: 1, 10: 6}",5,0.2857142857142857,6,4,5.0,2
7,0,"{1: 8, 2: 2, 3: 7, 4: 6, 5: 9, 6: 10, 7: 4, 8: 3, 9: 5, 10: 1}",5,0.25,7,1,3.3333333333333335,3
8,0,"{1: 6, 2: 2, 3: 1, 4: 8, 5: 5, 6: 7, 7: 4, 8: 3, 9: 9, 10: 10}",5,0.2222222222222222,6,1,2.0,5
9,0,"{1: 10, 2: 4, 3: 1, 4: 8, 5: 3, 6: 6, 7: 5, 8: 7, 9: 9, 10: 2}",5,0.2,8,1,3.3333333333333335,3
10,0,"{1: 8, 2: 9, 3: 7, 4: 2, 5: 5, 6: 3, 7: 1, 8: 10, 9: 6, 10: 4}",5,0.18181818181818182,9,1,5.0,2
